nsf_proposal_links_v1,researcher_name,goodness
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Agostinelli, Forest",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ahmad, Iftikhar",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Alexeev, Oleg S.",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ali, Mohammod",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Ammal, Salai C.",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Bakos, Jason D. ",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Banerjee, Sourav ",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Bayat, Mahmoud",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Bayoumi, Abdel-Moez E. ",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Benigni, Andrea",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Berge, Nicole D.",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Besmann, Theodore  M.",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Bischoff, Jeff ",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Blanchette, James  Otto",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Boltin, Nicholas D.",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Booth, Kristen",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Brookshire, Robert G., Ph.D.",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Broughton, Earnie",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Buell, Duncan A.",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Caicedo, Juan",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Carrilho, Leo ",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Carver, Wayne",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chandrashekhar, MVS",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chao, Yuh J. ",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chaudhry, Hanif",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chen, Fanglin (Frank)",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chen, Yinchao",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Chen, Yuche",0.4
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Cheng, Xu",0.4
